Title,Authors,Date Read,Rating,Review,Format,Contributors,ISBN/UID,Read Status,Date Added,Last Date Read,Read Count
Most Eligible Billionaire,Annika Martin,2023/07/18,5,"Okay so not great. First off “Vonda” really?? Didn’t love the characters; didn’t love the plot or the choices the characters made; definitely inconsistent; the dog whispering? Dog controlling a company?? No way would that be allowed right?? good spice—weird moment tho; overall not great, didn’t like",digital,,9781944736040,read,2023/07/18,2023/07/18,1
Dear Enemy,Kristen Callihan,2023/07/18,8,"I enjoyed reading. Maybe not to the extent of her other book, but in the end the opposites mirroring on another worked for me. I didn’t like that she held on to a lie but I’m more outraged that she looks bad for holding the lie while we only find out about HIS lie when all goes to hell. Like make the characters equally look bad imo. Anyways the lead up felt good until the lie by omission, spice was good, enjoyed enemies to lovers, glad third act “need for space” bc it wasn’t actually a break up didn’t last long and the characters were relatively intelligent",digital,,B07Y82VC6P,read,2023/07/17,2023/07/18,1
Breaking the Billionaire's Rules,Annika Martin,2023/07/19,7,Not bad. Better than the first but not the second. I was okay with most of it but the plot felt inconsistent at times and I wish there wasn’t so many “mini climaxes” overall wasn’t bad and enjoyed the friends to enemies to lovers,digital,,1230002989051,read,2023/07/19,2023/07/19,1
The American Roommate Experiment,Elena Armas,2023/07/22,8,This book was so good. I really like Elena Armas and her works so far. I don’t feel like this book stood out necessarily but I still feel like it was a very enjoyable read. Loved the characters and their quirks and the cameos from the first book. Overall pretty good!,digital,,9781668002780,read,2023/07/21,2023/07/22,1
Unexpected,E.J. Blaise,2023/07/25,7,"Oh what to give this one..there were moments I liked and moments I didn’t. It felt long, but I liked that there were occasional highlighted moments. The FMC (Amelia) kinda annoyed me but it got better as she recognized her actions and behaviors ALSO she had so much trauma in comparison to MMC (Nick) like geez even out the trauma so they can both grow like once he got over his player mood which was like 20% in he stops growing…he’s just a unicorn. Why the hell did the (not) brother have so much input??? Although I think that Blaise hit the mark with the “do you not trust me enough to tell me” part. And the ending was weird..with the whole Sam thing. I wish they left it with the Dylan (abusive ex) trauma and not added the Sam (dead ex) trauma. Overall not bad but definitely things I would change",digital,,B0BKX4NGL6,read,2023/05/10,2023/07/25,1
Bide,E.J. Blaise,2023/07/27,8,Gosh this book was so much better than the first imo. I liked the growth of the characters a lot more (that he was always a nice guy even tho he didn’t grow necessarily; that she learned how to trust) My one qualm was how it was kinda toxic for them to say for certain they’d get back to together and also the physical stuff without setting the boundaries of the relationship but hey Alcohol. Overall a book that was 100 pages longer felt 200 pages shorter! Idk just liked it better? He was less of a hero saving from a big bad ex and rather a challenger to get outside the comfort zone which I liked.,digital,,B0C1DWC855,read,2023/07/24,2023/07/27,1
Rule Number Five,J. Wilder,2023/08/01,7,This was a solid read. Not my fav but it wasn’t horrendous. I felt like Sid’s apprehension kinda dragged but I liked the original banter and that the author gave moments. I do feel like the switch was very fast and the book could’ve been shorter bc of that but overall not bad!,digital,,,read,2023/05/05,2023/08/01,1
Rules of the Game,J. Wilder,2023/08/02,7,Kinda same feelings as the last one. I liked the beginning and there was so much potential for the end but alas. I think that the one breakup should’ve been the first one and then the second chance not have a breakup. But whatevs. I also think this book should’ve been first bc I’m a chronological girly; overall not bad!,digital,,,read,2023/08/02,2023/08/02,1
Stolen Heir,Sophie Lark,2023/08/03,7,"I think I liked this better than the first one. Though maybe the bar is on the ground…However! There must be credit for another no third act break up and while they leaned a little too hard into/lacked subtlety with the Beauty and the beast story still an overall not mad, not bad.",digital,,B08BR99D98,read,2023/08/03,2023/08/03,1
Brutal Prince,Sophie Lark,2023/08/03,7,"I’m not sure if the plot was fast bc I was invested or bc it was simply inconsistent…not bad but I think the turning point of enemies to lovers felt abrupt, tbf it’s a mafia romance so my expectations weren’t that high lol. Overall not mad, not bad!",digital,,B08BNLPH6D,read,2023/08/01,2023/08/03,1
Savage Lover,Sophie Lark,2023/08/05,8,Okay wait I really liked this one. I liked the characters and how they influenced on another. I like how they took care of each other. I liked the Bonnie and Clyde moment. I really enjoyed this book overall. I really gotta say how glad I am that Camille was upfront with Nero about the CI stuff and being used as a rat (instead of the “I need to tell them” trope and then not telling them and then they find out and then third act break up). Anyways I really really liked this book!,digital,,B08BQV9MZ8,read,2023/08/05,2023/08/05,1
Bloody Heart,Sophie Lark,2023/08/06,8,Yay. I also really liked this one. I had a moment where I was annoyed with Simone for not telling Dante but like overall this was so fun! I will also say that i didn’t love the antagonist of the book like he came outta nowhere. However I liked the flashback as the exposition and still was very pleased overall,digital,,B08BR26JLM,read,2023/08/06,2023/08/06,1
Broken Vow,Sophie Lark,2023/08/07,7,This one was fun! I liked how it was kinda removed from the whole mafia scene a little bit. I was a little wary of the lack of vocal consent in some scenes but overall both seemed willing participants. I kinda like the double plot too. Overall feels like a not mad not bad!,digital,,B08HDF63WP,read,2023/08/07,2023/08/07,1
Heavy Crown,Sophie Lark,2023/08/08,4,"Argh this was the worst one…ehhhh. She literally lied to him the entire time, the reconciliation was patchy at best like it was like someone snapped their fingers had sex and called it good…fork that. They didn’t even have that great of a relationship like that was completely sped past. THEN! He didn’t actually reform or anything. I think that he should’ve had a heart to heart with what everyone was saying about “letting the dads honor go” not dig deeper into the mafia argwk f i so so mad. Should’ve just given the entire thing to miko and gone and become a legit family too!!! Gahhhh I’m so mad. I wanted HEA not lead ins for the next series…not okay.",digital,,B08HDFCB71,read,2023/08/08,2023/08/08,1
Contractual Obligations,Elle Rivers,2023/08/09,9,Wait wtf that was incredible. Like wait. Time what just happened. This book was amazing. MMC unicorn. There was struggle but there was learning and the growth of communication in the relationship and the characters and the omg. I’m obsessed. The only weird thing I found was that they were married for so long before anything happened but ig it makes more sense for the authoring a series (but my keen sense of curiosity is not smushed by impending parental expectations). Holy shirt tho this was rly good.,digital,,B0BXHY11XM,read,2023/08/09,2023/08/09,1
To Make Matters Worse,Elle Rivers,2023/08/10,5,It got better but like ehhh. The best friends were annoying with the whole ticking time bomb stuff. I felt like there were a lot of managed emotions and stuff which was just frustrating to read. I did like that they got better with communicating with one another but apart from the main relationship everyone else was annoying.,digital,,B0BCZWC3QZ,read,2023/08/10,2023/08/10,1
All Downhill With You,Julie Olivia,2023/08/11,9,"Awwwwww. I loved this one!!? And! I can already anticipate the next three couples…;) it was so cute and totally what I expected and wanted from a cute rom com grumpyxsunshine/enemies to lovers. I love the characters the side characters the all of it. (Ofc can’t forget the spice ;;;) So good, very please and happy",digital,,B09XBSSL6W,read,2023/08/11,2023/08/11,1
The Fiction Between Us,Julie Olivia,2023/08/11,9,"This series is actually so cute!!!! I love the community, and I like that the characters aren’t annoying. With the reverse grumpyxsunshine and the friends to enemies to lovers it was *chef kiss* I think I’m also excited to see the seedlings of the other relationships from the next books. Overall I really dig this universe and I appreciate that the author doesn’t make it longer than it needs to be but also adds enough complexity to keep the story entertaining.",digital,,B0B94BBPM6,read,2023/08/11,2023/08/11,1
Their Freefall At Last,Julie Olivia,2023/08/12,9,Gah this book broke my heart and mended it back together. My one request was that instead of an engagement it was moving in together and instead of a wedding considering an engagement. I think the point could’ve gotten across without actually making it to the wedding day bc Ruby could’ve still encouraged Bennett to go after Jolene with a proposal. But that’s my op I think it’s just so frivolous and cliche to get all the way to the wedding day. HOWEVER this was such a good book. I loved the crumb trail from the previous books. I’m a sucker for a childhood romance (Who Do You Love??)))). Anyways it was so beautiful and fun to see their relationship start and grow and blossom and go into hibernation and then be re seeded and etc. They were actually soo cute and this series was came to such a happy conclusion for me. Overall very pleased,digital,,B0BTJDCTD9,read,2023/08/12,2023/08/12,1
Our Ride To Forever,Julie Olivia,2023/08/12,9,I feel like a broken record but this series is simply too cute. I wasn’t expecting the marriage of convenience but it’s not bad. I’m glad there wasn’t any real breakup and the confusion at the beginning was kinda fun. I like that she was able to help him and encourage him to adjust his life to help his health and that he helped validate her beyond being the “vacation friend” overall still loving the series,digital,,B0BMFHTRW3,read,2023/08/11,2023/08/12,1
Happy Place,Emily Henry,2023/08/15,10,"Emotionally wrecked. I would say that I wish that it didn’t seems like only Wyn’s fault at the beginning but now I kinda see it as metaphor for Harriet’s mindset being limited or in denial or not understanding the full picture. I loved how the tension grew and while I knew it was the cliche “I don’t want things to change,” I thought it was beautifully done. I also really like how everyone made mistakes and how it was clear that they took responsibility and learned not only from the mistake but also how to communicate better from learning. I loved the “happy place” motif and how she universally used the term. Overall it was so good and a perfect #100 for the year.",hardcover,,9780593441275,read,2023/07/10,2023/08/15,1
Go Fake Yourself,Elle Maxwell,2023/08/17,8,Awww that was fun and creative!! I’m really curious got this experiment would go in real life but I feel like there were some points that seemed more realistic not all but a few. Overall it was fun to read!,digital,,B0B9R8HLMS,read,2023/08/17,2023/08/17,1
The Write Place,Allie Samberts,2023/08/23,7,Ehhh I wasn’t really feeling this book…maybe it’s my own mindset but I didn’t feel very invested in the characters (especially not in the end) the third act breakup was stupid and not for good reason and overall was meh. I will give credit for the first part of the book but it was a train going down hill,digital,,B0BVL564Y5,read,2023/08/23,2023/08/23,1
You Can't Fight Molecular Attraction,Marceline Addams,2023/08/25,9,Wait this book was so good!!! I didn’t really have any critiques..?? Maybe a few more moments of the MMC and FMC together to see the relationship together like in stead of saying “they talked all the afternoon” giving a few more snippets of conversations and also maybe a few inside jokes for them. Overall I really enjoyed!!!,digital,,B0BW39X3D1,read,2023/08/24,2023/08/25,1
In Too Deep,Julie Olivia,2023/08/27,8,Aww this was a cute story! Overall I don’t have any critiques but I always have the underlying dread with office romances bc I know something bad is probs coming. However it wasn’t too bad. Ig I also was confused how quickly the MMC changed his mind on marriage and kids but like if they’re the one..? Overall not bad not mad,digital,,B07YQMR4M5,read,2023/08/28,2023/08/27,1
In His Eyes,Julie Olivia,2023/08/28,7,"Ehhh okay it was good but the third act disconnect (wasn’t really a break up) was actually so stupid. Like he didn’t even give her the benefit of the doubt. How could he know and love her for a decade but not give her the benefit of the doubt???? I get the whole trauma but at least let her say her piece and not just ignore her completely. ALSO, how did her emotions just switch from he’s a player to i wanna fork him…what??? Was it that he dealt with her brothers so kindly (which was another weird addition) overall I just feel weird about this book there were moments I liked but I just feel stunned and a bit frustrated. I think the whole “Saria and Ian getting into the car thing” should’ve been played up more than the fake driving least have been dealt with equally. But anyways…",digital,,B083VSLDNP,read,2023/08/28,2023/08/28,1
In The Wild,Julie Olivia,2023/08/29,8,"Okay yay! A good end to the series. I was a little wary at first bc of the previous book, but overall it all ended in a pleasing way. I’m glad that Saria was the one to fix things kinda (but that Harry didn’t chase her to the next town or anything crazy) and that she waited to try to improve herself before trying again with Harry. All in all, not bad!",digital,,B08B16V9SS,read,2023/08/29,2023/08/29,1
Faking Ms. Right,Claire Kingsley,2023/09/01,9,YAYY!! Alright I knew what the third act break up would be about but I’m glad it didn’t last too long. And there’s the comfort of knowing what will happen. Obvi I wish that Shep hadn’t rushed to make a decision before fully hearing out Everly but I thought it was really cute how her friends advocated for her and got his head out of his ass. Overall loved the grumpyxsunshine and the character development!,digital,,B07RXD1SJY,read,2023/09/01,2023/09/01,1
Falling for My Enemy,Claire Kingsley,2023/09/02,9,"AHHHH this was so cute!! I loved the nerdy, quirky vibes. It was honestly adorable. I wasn’t a fan of the miscommunication trope but I wasn’t mad and I was pleased with how things resolved themselves. I loved how they mirrored each other despite being enemies; gotta love enemies to friends to enemies to hate lovers to friends with benefits etc etc. Overall I really enjoyed all the cute quotes and quirks of this read!",digital,,B0841FYJ8N,read,2023/09/02,2023/09/02,1
Marrying Mr. Wrong,Claire Kingsley,2023/09/03,9,Another fun one! I gotta say one moment that really stuck out to me was when Cox had a moment of rash decision making and apologized for it. I really liked how that growth of communication was added into the story even it was a one step forward and three steps back. I loved that Sophie’s thing was clumsiness and that Cox just didn’t think marriage was for him (but that could’ve been hit harder). Overall I enjoyed!,digital,,B08WKQ15ZD,read,2023/09/03,2023/09/03,1
Flirting With Forever,Claire Kingsley,2023/09/04,9,OMG wait that was so sweet. This entire series was a win for me. I was thinking to myself I hope that this third act breakup has to do with something that’s not like a last minute thing but rather an integral part of the character/plot and I felt like the someone using another’s name was perfect. I also really liked the formula of originally the friends getting the guys head our of his ass to the husbands getting the guy’s head out of his ass. I also really appreciated how good of a dad Dex is. SO glad it ended happily and the bonus epilogue was too cute!,digital,,B0BXBFG19R,read,2023/09/04,2023/09/04,1
West Side Love Story,Priscilla Oliveras,2023/09/09,7,I liked this one. I appreciated the nudges towards Romeo and Juliet even tho they weren’t subtle. I like the culture aspect and the value of family. I wanted more spice the slow burn was good but then it faded to black :( oh well. I don’t know if I’d say I was totally and utterly enraptured but it was a good story overall and I can appreciate a Latinx author.,digital,,B09B71RX2B,read,2023/09/09,2023/09/09,1
Things We Left Behind,Lucy Score,2023/09/11,9,"BAHHHHH UGLY CRYING but not really but omg I don’t want this series over. I was not ready for the second climax tho like woah our heroine almost died TWICE. I could give critiques but I don’t want to bc I thoroughly enjoyed and the spice was fantastic. I loved see the characters from previous books and I loved the flashbacks, would’ve loved more too. Overall what a good series. I delayed finishing and didn’t realize there was a second climax lol bc I didn’t want it to be over :((((",digital,,9781399713801,read,2023/09/11,2023/09/11,1
Behind the Net,Stephanie Archer,2023/09/14,8,"This was a really fun read! I don’t think the grumpy part of grumpyxsunshine lasted very long…but the spice ;) I liked the MMC better nothing against musician but that just wasn’t my vibe. I was so relieved there wasn’t a third act break up. overall good vibes, good read",digital,,B0C85RV9VG,read,2023/09/14,2023/09/14,1
The Wedding Menu,Letizia Lorini,2023/09/16,6,Oh god this was almost worst than the first like god the chapters were just all out of order and the timeline broke my brain. I needed a more linear plot and a dual pov. I really wanted to hear the MMCs pov bc that would’ve added a lot more and better insight but whatever. I just don’t think this author is my vibe.,digital,,B0C9KN2YDN,read,2023/09/16,2023/09/16,1
Desserts for Stressed People,Letizia Lorini,2023/09/16,6,My biggest frustration with this book was that you can’t accuse someone of doing something bad and not confront them only to do the same thing to them. Like the whole getting caught in the act bit? bs just like be honest but whatever. I didn’t really like how the characters said I don’t want anything else to do and then she kept pushing…but the last part was okay. Overall meh,digital,,B0BSH6QFKK,read,2023/09/16,2023/09/16,1
Landlord Wars,Jules Barnard,2023/09/21,7,Huh..well that happened. I was really hoping for more spice. Overall just a meh feeling. I liked it but it wasn’t like invigorating I want it to never end vibe. Characters were relatively likable but I wanted more spice and there wasn’t a lot of exposition so you were thrown into the story…but overall not bad,digital,,9781942230779,read,2023/09/23,2023/09/21,1
Red Summer,Cassidy Hudspeth,2023/09/23,6,Things just happened without explanation…..like it was just a series of events that didn’t flow in the way that they should have. Maybe I was skim reading but I just felt like they didn’t have enough moments of getting to know one another…anyways at least it was spicy,digital,,,read,2023/09/23,2023/09/23,1
Where We Left Off,Sapphire Hale,2023/09/24,3,"Omg this was so bad. There was no rhyme or reason to anything the characters had no ambition and would literally change opinions on a dime and were not relatable and wtf was going on with everyone being step siblings and why oh why if the MMCs father knew who the girl that broke his sons heart was why oh why would the father pursue that girl’s mother. So so so bad, didn’t know why anything happened…not even considering reading the next ones",digital,,B0BMY99PHC,read,2023/09/30,2023/09/24,1
Night Shift,Annie Crown,2023/09/24,7,"Hmmm I liked this one! It was cute and flirty although I got kinda confused with what Kendall was upset about and also why her friends had their fight like that came out of nowhere…I liked the first scene and I liked the spicy scenes although why in the attic of the bookstore??? Anyways, alright read!",digital,,9781405968690,read,2023/09/24,2023/09/24,1
The Fantasy League,Meg Reading,2023/09/27,8,Phew this was so much better. I didn’t love the third act break up and there no way someone finishes five times in like thirty mins but like whatever. Overall I enjoyed! I loved the pining and the fake dating and I’m excited for the next books in the series!,digital,,B0B5VTNRHH,read,2023/05/10,2023/09/27,1
The Silent Count,Meg Reading,2023/09/30,8,"Yay no third act break up. I liked that he took care of her during the anxiety attack and the aftercare spicy time was so sweet. I kinda thought the thing that she held onto was kinda odd in the sense that it had been twenty years but I guess words cut deep, fun read overall!",digital,,B0BF627F2J,read,2023/09/30,2023/09/30,1
The Red Zone,Meg Reading,2023/09/30,8,"I’m happy with this series as a whole. I really liked (and idk if it was purposeful) the ladybug and lucky charm nicknames where they knew it was the other but they didn’t know how to come clean bc it felt like a nod to miraculous. I also like the dad, king just wanted his daughter treated right. Overall good book and good series!",digital,,B0B9P3MQ48,read,2023/09/30,2023/09/30,1
Rewrite Our Story,Kat Singleton,2023/10/02,9,I really enjoyed this book. I really didn’t feel like the blame was placed correctly at times and the mixed messages was like buddy…she did what you wanted her to do….but still it was heartbreaking and sweet. There was sm spice and I loved it and the teaser for the next book ;) anyways love a good second chance romance and the childhood friends to enemies to lovers.,digital,,B0BT6TMVZ9,read,2023/10/04,2023/10/02,1
Tempt Our Fate,Kat Singleton,2023/10/04,9,Awww this was sweet. I thought the third act break up was silly but at least she acknowledges what and why she lashed out and to waste five million dollars bc of pure impatience???? Anyways the spice was…a lot for sure and I feel like I should re-familiarize myself with black ties and white lies lol. Overall I enjoyed!,digital,,B0C4R77KKQ,read,2023/10/04,2023/10/04,1
Collide,Bal Khabra,2023/10/10,7,"This was fun! I think I read a little fast and skimmed so all the side characters were a blur lol; I liked the main characters although the FMC kinda annoyed me for listening to someone who clearly wasn’t someone you should get advice from and for rejecting and diminishing her relationship with the MMC. I also felt like it was slow…and kinda struggled to pick back up after taking a break, but overall not mad, not bad",digital,,B0CG3ZHKN3,read,2023/10/10,2023/10/10,1
Promise Me,Carlie Jean,2023/10/10,8,Lol I DID enjoy this one tho. I thought the plot was moving fast but I think it also allowed there to be moments for the characters to interact and create memories together. I really like the specific moments that authors put into their books so the Oreo story and the time that they spent together watching Marvel or eating cake made their relationship more believable and made you want to root for them. Overall I liked and I sped through. Loved the strong yet learning to be vulnerable FMC; I wish I had the optimism and confidence to be like yeah I want and can go to the olympics lol. also spice,digital,,B0CBHLRKPT,read,2023/10/10,2023/10/10,1
Good Catch,Carlie Jean,2023/10/11,8,"This one was sweet! I’m not a fan of the whole big bro being annoying bc it’s not his place imo also like….do you not trust your sis or your bff? AND the hypocrisy of him dating his sis bff. Anyways, overall I liked that they moved on from the past and were able to create a relationship and have moments unaffected by the past. I enjoyed the spice…was very informative. Overall I enjoyed!",digital,,9798372614239,read,2023/10/11,2023/10/11,1
Heartless,Elsie Silver,2023/10/14,8,"Wait this was so cute, save the accidental pregnancy (which ended up cute). I love that they supported, softened, and rounded each other out in the end. I like that they give each other options and respects/trusts one another to eventually come to a mutual resolution. I loved Luke and was glad he wasn’t too wise for a five year old. Overall I think this story was really sweet.",digital,,B0B4KR2X87,read,2023/10/14,2023/10/14,1
Flawless,Elsie Silver,2023/10/14,7,I thought this was fun! Overall I liked but idk if there was anything to really rave. I get the whole age gap but I really don’t want the entire series to be it…like the weird teen crush part felt off and also the weirdness of her not telling him that it was a secret…whatever. Not a lot of character development and sometimes I feel like they randomly had new attributes but overall not mad.,digital,,B09VV2CR51,read,2023/10/14,2023/10/14,1
Powerless,Elsie Silver,2023/10/15,9,THIS WAS SO GOOD. I LOVE CHILDHOOD FRIENDS TO LOVERS. I also love the trust and respect that they had for one another to allow the other to make the decisions and boundaries they needed. I loved all the moments and the tension finally breaking. I REALLY enjoyed just the whole book. I think both characters helped each other to be their own person and enjoyed watching them navigate being together in new ways.,digital,,B0BHV6ZHT1,read,2023/10/15,2023/10/15,1
Reckless,Elsie Silver,2023/10/16,8,I liked this one!!! It really started out with a bang and the MMC…DILF all the way. Honestly I loved how sweet he was and how he helped her learn to accept help and love. I think his character development was not as apparent but still loved him being DILF. Anyways…l didn’t get the whole anger thing with the paternity question but I liked that it built up to her giving into her feelings. Overall good vibes!,digital,,B0BTZQ7TGP,read,2023/10/16,2023/10/16,1
Hopeless,Elsie Silver,2023/10/19,7,Gahh I can’t believe I finished the series! I didn’t like the last book as much…I was looking forward to Beau being all sunshiny but no he had an accident and blah blah blah. I also didn’t like Bailey she felt like a petulant child and the age gap didn’t help. Like I get she felt betrayed but she should’ve been more explicit rather than just running away. Oh well. I really enjoyed the series as a whole tho!!,digital,,B0C7B3DFJZ,read,2023/10/20,2023/10/19,1
Off to the Races,Elsie Silver,2023/10/21,9,This one was so sweet. I thought the FMC WAS A BAD BITCH and she has my full support to whip a jackass. I love how they both show some more of their tender sides for one another and overall I loved the nuance of sacrifice and family legacy showed in the book. Overall I felt there was more depth and I’m really excited for the rest of this series.,digital,,B08ZVBV6LS,read,2023/10/21,2023/10/21,1
A Photo Finish,Elsie Silver,2023/10/22,8,I really enjoy that there is a little more depth to these books (not a lot) but enough to make me happy. I like the angst of the characters and the demons they had to face along the way. I liked that they had their own second chance and the respect and space they give one another. It was nice to see them learning to communicate and become better as individuals and as a couple. Overall fun read!,digital,,B09BDFRMX1,read,2023/10/22,2023/10/22,1
The Front Runner,Elsie Silver,2023/10/23,9,AAAAH THIS WAS SO CUTE. The heart wrenching ones where I cry are always the best. I loved the nuance of these characters. I felt like they were both misunderstood or misinterpreted but were able to see each other in a really beautiful way. I think that loss and grief are really powerful themes that this book did an excellent job of weaving through and ended with the gratitude that comes hand in hand with that grief. Overall I thoroughly enjoyed!,digital,,,read,2023/10/23,2023/10/23,1
A False Start,Elsie Silver,2023/10/25,7,Huh well that happened…why does she end on the weird age gap ones? Like I get the whole change to be a better person for the other but it just felt tacky this time. I also felt like MMC was the only one to do work on the relationship during the break but whatever. Like the angst for this one felt meh…idk maybe bc I felt so much more from the last one. Anyway…happy they all got HEA,digital,,B09R2FTG11,read,2023/10/26,2023/10/25,1
King of Greed,Ana Huang,2023/10/26,7,"Hmmmm…well I liked the characters but not the plot. I felt like it tapered off near the middle and to the end. I felt all the angst at the beginning but then they tried to solve their problems with sex and that confused me. I felt like a dual timeline would’ve been a good addition because I really loved the flashbacks. I also feel iffy with the whole second chance part and the pseudo stalking. I did like how connected Dom’s personality was to the title. Overall the beginning was great and heartbreaking, but the middle to end just fell off.",digital,,B0C13VFWML,read,2023/10/10,2023/10/26,1
Mile High,Liz Tomforde,2023/10/29,8,I really enjoyed this!!! I liked the characters the spice the maturity. I was worried about the third act break up not being necessary but I felt like it made sense. Maybe would’ve had the characters be a tad bit grateful considering they make millions/have family that care for them that make millions. Nonetheless I enjoyed and I’m very excited for the next one.,digital,,B09X4PVC6F,read,2023/10/29,2023/10/29,1
The Right Move,Liz Tomforde,2023/10/30,8,I HAVENT EVEN FINISHED GODDAMN BOOK AND IM PISSSED WHAT THE ACTAUL fork WHY IS SHE SO UPSET LITERALLY FUCKING TALK TO HIM; REMEMBER THE LAST YIME YOU ASSUMED HIS THOUGHTS…AND SHE DOESNT EVEN APOLOGIZE FOR NOT HEARING HIM OUT GIVE HIM A BREAK HES HAD FUCKING TRAUMA ABOUT BEING SET UP AND HEARING THAT YOUR PREGNANT IS KIND A BIG FUCKING DEAL…AND IM SO UPSET BC THAT ONE THING KINDA RUINED IT FOR ME (I mean clearly strong reaction) but like actually I loved the characters and plot and everything and that there didn’t seem to be a big third act break up and then you give me this shirt nuh uh. It ended happily but all that good was shadowed by one little bad and pissed me off. Like she cares about him right? But not enough to be patience with his insecurities or even talk about what made her so upset by his reaction not ducking cool anyways all that to say that I’m taking away a rating point bc of it…would’ve been a 9 but not I have to give a 8,digital,,B0B2L6CBXQ,read,2023/10/30,2023/10/30,1
Caught Up,Liz Tomforde,2023/11/04,9,"Gahhhh my heart can’t take it. It was too good. I love the trope where they let each other go to live their dreams. This one hurt in the best way. I’m sad it’s over, but excited about the next. I liked the characters and how they paralleled, changed, and loved each other. I really enjoyed the parallels between Kai and Monty and eventually seeing the parallels between Monty and Millie. I felt like there was a depth and literary intention in this book which was enjoyable to read.",digital,,B0CKRXNDCF,read,2023/11/05,2023/11/04,1
Spring Tide,Ki Stephens,2023/11/05,5,Bro this was so bad. What a struggle to get through. I loved the idea/premise but the execution was lacking. I hate when characters have personalities/attributes that we’re supposed to know but they don’t show it in their actions so I’m like midway through a book and it’s like “oh yeah and I’m insecure bc no one takes me seriously” as a major personality trait and I’m like where did that come from (OR! When they seem like they’re really confident and then all the sudden it’s like yeah that confidence was a lie but we didn’t want to tell you the reader that) anyways I like character development not character trait bingo. Another thing about how bad this book was that the whole third act break up and reconciliation happened in like 5 pages at the end of the book which was like….? Are they middle schoolers?? Saying I like you at recess and then during lunch saying actually I don’t like you????? Anyways it was bad,digital,,B0BJC17TD4,read,2023/11/05,2023/11/05,1
Fix Her Up,Tessa Bailey,2023/11/07,6,Well I gotta say it was definitely a Tessa Bailey book plenty of spice but weird character development and a horrible third act break up that makes you want to tear your hair out every time. And yet I come back….honestly the weirdest part for me was the freaking clown but wtf. Also I thought the brother and sister-in-law needed more chastising bc they SUCKED and got away with it…oh well better than the two I dnfed,digital,,9780062872845,read,2023/07/10,2023/11/07,1
Love Her or Lose Her,Tessa Bailey,2023/11/08,7,This was better than the last but still a Bailey…ofc the third act break up was another lie of omission that wasn’t that big and actually helped her achieve her dream but whatever. I liked seeing the depth of the characters learning to better communicate what they needed and how to express their love in a way that was properly received. Overall there were elements that I thought were really well done and then the second half of the book kinda went off the rails lol (like ah yes sex fixes your problems) but whatever I liked the ending and I was glad that they didn’t actually divorce I thought the sexual tension made the second chance better and more believable. Things I’d change but not bad,digital,,9780062872869,read,2023/11/08,2023/11/08,1
Love Redesigned,Lauren Asher,2023/11/11,9,"AHHH this one flew by. I really appreciated NO THIRD ACT BREAK UP!!!! I loved the childhood rivals to lovers and I overall was really happy with everything. There were a few moments like dealing with problems with sex instead of talking, and Dahlia not giving Julian a chance about the biological children stuff. However they did talk which and they got better at communicating and I liked watching the vulnerable moments bc it made me want to root for them after seeing them trust one another. Overall fun read!",digital,,9789021487786,read,2023/05/05,2023/11/11,1
Bishop,Eden Summers,2023/11/12,6,I mean…definitely a mafia romance book lol. I liked the FMC until the end. The whole stunt with her going in the car when he told her not to go (like I get it but it’s like she made the situation worse) and also the big indecision about taking care of her child it was just weird…the justification and explanation for the kid being moved around is just weird….anyways over just meh didn’t really WANT to read a mafia romance but it was alright ig; gotta get those bookmarks,digital,,,read,2023/11/12,2023/11/12,1
Per My Last Email,Juliana Smith,2023/11/13,9,"Wait this was actually so so cute. I loved the jimxpam vibes and no third act break up. I felt like the no spice was appropriate (I still would’ve liked it seasoned) but overall I thought this was a really sweet book. I liked the little moments and I wish we had a few more of the mundane little moments showed (not told) before the work retreat but otherwise it was a cute, fun read",digital,,,read,2023/11/12,2023/11/13,1
"Signed, Sealed, Delivered",Juliana Smith,2023/11/14,10,WTF THIS WAS SO GOOD…IM SO TEMPTED TO GIVE 5 STARS. I loved the fated soulmates trope and the pen pal and the roommates and it wasn’t frustrating and they had their small moments and they didn’t have some stupid argument and they both found out at the same time and there wasn’t animosity and it was just SO perfect and sweet and lovely and I loved it hokey smokes so so so good. I understand why it’s being rec everywhere,digital,,,read,2023/11/14,2023/11/14,1
Forces of Nature,Elle Rivers,2023/11/14,7,This book started really strong and overall it wasn’t bad but the direction changed a lot without smooth transitions. I thought the first scene showing the rivalry was really strong and then the meeting ten years later was good but then transitions and aim got a little messy. I liked the characters for sure. I as the reader needed more time to be like okay now we’re in this setting or a little more backstory before throwing an important plot point at me. Overall not mad not bad,digital,,,read,2023/11/14,2023/11/14,1
On Cloud Nine,"Kels Stone, Denise Stone",2023/11/17,5,Gahh I had so much hope for this book but it just wasn’t it. I had hope in the beginning and it just wasn’t relatable. Misunderstood rich girl who can still raise enough money to be a business owner and negotiate million dollar deals is privilege and the lovey dovey mush was just too much. I want a small bit at the end when they’re all happy but the weird lines were just bad. I was okayish with the confrontation of the parents but then again it just was a train barreling down the side of a hill. And THEN everything gets resolved with the parents in like a page or two. Overall wasn’t it…sorry,digital,,9798986416939,read,2023/11/17,2023/11/17,1
